class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,95.12,95.93,93.5,95.12,95.12,92.68,95.12,94.31,94.31,95.12,95.93,123
1,93.18,90.91,93.18,90.91,86.36,93.18,86.36,88.64,90.91,90.91,88.64,44
2,83.33,87.04,87.04,83.33,79.63,85.19,87.04,83.33,87.04,83.33,85.19,54
3,61.9,66.67,57.14,61.9,61.9,61.9,61.9,57.14,61.9,66.67,61.9,21
4,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
6,88.33,88.33,88.33,86.67,86.67,83.33,83.33,90.0,85.0,86.67,85.0,60
7,75.0,75.0,75.0,75.0,72.5,72.5,70.0,65.0,65.0,67.5,62.5,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
10,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,13
11,91.11,91.11,93.33,93.33,91.11,97.78,93.33,95.56,80.0,88.89,88.89,45
12,93.88,92.86,93.88,93.88,89.8,94.9,90.82,92.86,92.86,90.82,92.86,98
13,50.0,50.0,75.0,75.0,75.0,75.0,50.0,50.0,75.0,50.0,100.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,85.44,86.08,86.08,86.08,85.44,84.18,86.08,86.08,84.18,82.91,89.24,158
16,93.41,92.67,92.31,92.31,91.21,91.94,92.31,92.31,91.58,91.94,91.58,273
17,75.0,78.85,78.85,75.0,80.77,76.92,76.92,84.62,82.69,82.69,78.85,52
18,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,40.0,60.0,5
19,92.45,94.34,92.45,94.34,93.4,93.4,93.4,93.4,91.51,92.45,92.45,106
20,94.81,95.24,95.67,94.81,94.81,95.24,96.1,94.37,94.37,93.94,94.81,231
21,91.4,91.4,92.47,91.4,92.47,89.25,94.62,93.55,91.4,91.4,94.62,93
22,81.54,81.54,81.54,83.08,80.0,80.0,80.0,80.0,80.0,81.54,81.54,65
23,96.0,95.69,96.31,96.0,96.31,96.31,95.69,95.38,96.62,96.62,96.0,325
24,75.0,75.0,75.0,70.0,70.0,70.0,65.0,65.0,65.0,65.0,60.0,20
25,80.95,80.95,80.95,80.95,76.19,85.71,76.19,80.95,76.19,71.43,80.95,21
26,95.45,90.91,90.91,90.91,90.91,90.91,90.91,95.45,90.91,90.91,90.91,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,96.88,96.48,97.66,96.09,96.48,94.53,96.09,96.48,94.92,95.7,96.09,256
29,84.21,87.72,80.7,82.46,75.44,80.7,82.46,80.7,71.93,78.95,73.68,57
30,97.68,98.61,97.68,98.14,98.38,97.91,98.38,98.14,98.61,98.14,98.61,431
31,93.33,91.67,92.78,93.89,91.67,93.89,91.11,92.22,94.44,93.33,93.33,180
32,97.19,97.19,96.91,96.63,97.75,96.91,95.51,96.35,96.07,95.51,96.91,356
33,83.33,83.33,83.33,77.78,83.33,83.33,83.33,83.33,83.33,83.33,77.78,18
34,100.0,100.0,95.24,100.0,95.24,95.24,95.24,100.0,100.0,95.24,100.0,21
35,82.86,85.71,85.71,88.57,82.86,88.57,82.86,91.43,82.86,88.57,85.71,35
36,99.35,99.35,100.0,100.0,98.7,98.7,100.0,100.0,98.7,99.35,99.35,154
37,96.4,95.68,96.4,95.68,96.4,95.68,95.68,95.68,96.4,97.12,95.68,139
38,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,9
39,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,84.85,78.79,33
40,87.23,87.23,87.23,87.23,89.36,89.36,87.23,85.11,87.23,91.49,87.23,47
41,93.81,93.81,94.85,92.78,91.75,93.81,92.78,92.78,92.78,94.85,92.78,97
42,97.44,97.44,97.44,97.44,96.15,97.44,97.44,98.72,94.87,97.44,94.87,78
43,90.74,90.74,90.74,92.59,92.59,88.89,92.59,90.74,87.04,88.89,92.59,54
44,71.43,71.43,71.43,85.71,71.43,71.43,85.71,71.43,71.43,71.43,71.43,7
45,100.0,100.0,99.62,100.0,100.0,100.0,100.0,99.62,98.87,100.0,100.0,265
46,96.47,96.86,96.86,96.86,96.86,96.08,97.25,97.25,96.86,96.86,95.69,255
47,85.19,85.19,88.89,85.19,85.19,85.19,85.19,85.19,81.48,96.3,81.48,27
48,92.59,92.59,91.98,92.9,91.67,92.28,92.59,92.28,90.43,91.36,90.74,324
49,98.21,96.43,94.64,98.21,94.64,94.64,94.64,96.43,91.07,96.43,96.43,56
50,94.69,93.72,93.72,92.75,92.03,89.86,90.1,89.86,91.55,90.58,88.89,414
51,97.53,97.94,97.94,97.94,95.47,96.3,95.47,95.06,95.88,92.59,94.24,243
52,96.07,96.28,95.66,95.45,95.87,95.04,95.66,94.01,94.83,94.83,94.01,484
53,90.34,89.92,89.92,89.5,90.76,85.71,88.66,85.71,86.97,83.19,85.29,238
54,56.25,50.0,50.0,50.0,50.0,50.0,50.0,56.25,50.0,50.0,50.0,16
55,93.07,92.64,92.64,90.48,90.91,89.61,90.91,89.18,93.07,88.74,87.01,231
56,75.0,75.0,75.0,66.67,79.17,70.83,79.17,66.67,79.17,50.0,66.67,24
57,92.86,94.39,93.37,91.33,91.33,91.84,91.84,90.82,91.33,92.35,90.82,196
58,91.67,91.67,91.67,91.67,91.67,100.0,91.67,91.67,91.67,83.33,75.0,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,92.06,90.48,85.71,93.65,85.71,84.13,87.3,82.54,79.37,84.13,84.13,63
61,94.64,94.64,94.64,96.43,94.64,96.43,94.64,94.64,94.64,96.43,96.43,56
62,87.88,90.91,87.88,90.91,93.94,87.88,90.91,87.88,81.82,87.88,81.82,33
63,92.44,91.11,92.0,92.0,91.11,91.11,92.0,91.56,91.11,90.67,92.44,225
64,63.64,63.64,63.64,63.64,72.73,54.55,72.73,81.82,54.55,72.73,63.64,11
65,77.78,77.78,77.78,66.67,66.67,66.67,55.56,77.78,55.56,66.67,77.78,9
66,86.15,87.69,83.85,86.15,84.62,80.0,82.31,83.08,84.62,83.85,78.46,130
67,99.44,99.44,100.0,99.44,100.0,100.0,98.89,100.0,99.44,99.44,100.0,180
68,91.67,94.44,94.44,88.89,94.44,97.22,94.44,86.11,83.33,86.11,91.67,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,98.28,100.0,100.0,98.28,100.0,98.28,100.0,96.55,98.28,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24
72,96.51,96.51,96.51,96.51,96.51,97.67,97.67,97.67,95.35,95.35,96.51,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,49
74,94.17,94.17,94.66,94.66,95.15,94.66,94.66,96.12,95.15,95.63,95.63,206
75,98.04,98.04,98.04,98.04,96.08,96.08,98.04,96.08,98.04,98.04,98.04,51
76,77.78,83.33,72.22,83.33,83.33,77.78,77.78,72.22,83.33,77.78,83.33,18
77,90.58,89.13,89.13,86.96,89.13,89.13,86.23,86.96,88.41,85.51,86.96,138
78,97.97,97.97,97.46,97.97,97.97,97.46,97.46,97.46,97.46,96.95,97.97,197
79,96.12,97.09,97.09,97.09,96.12,96.12,96.12,96.12,98.06,97.09,96.12,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,91.67,91.67,91.67,91.67,91.67,91.67,91.67,94.44,91.67,88.89,91.67,36
82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,100.0,7
83,97.44,97.44,97.44,98.72,97.44,98.72,97.44,97.44,93.59,94.87,98.72,78
84,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
85,11.11,0.0,22.22,0.0,0.0,0.0,11.11,0.0,11.11,22.22,0.0,9
86,94.38,94.38,94.38,94.94,94.94,94.94,95.51,94.94,94.38,94.94,93.82,178
87,94.3,94.94,95.57,92.41,94.3,92.41,93.04,93.04,91.14,94.3,92.41,158
88,75.0,75.0,75.0,75.0,67.86,71.43,71.43,64.29,67.86,75.0,75.0,28
89,37.5,12.5,25.0,50.0,25.0,0.0,12.5,12.5,25.0,25.0,25.0,8
90,97.41,97.57,97.09,97.25,97.25,97.25,96.93,97.09,96.76,96.93,96.44,618
91,91.53,91.53,91.53,89.83,93.22,89.83,93.22,89.83,91.53,89.83,86.44,59
92,58.33,50.0,41.67,58.33,25.0,58.33,16.67,25.0,41.67,16.67,33.33,12
93,56.9,53.45,56.9,44.83,51.72,44.83,53.45,39.66,43.1,43.1,41.38,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,7
97,88.89,85.71,88.89,90.48,85.71,87.3,84.13,85.71,84.13,82.54,82.54,63
98,100.0,100.0,66.67,100.0,66.67,100.0,100.0,33.33,100.0,66.67,66.67,3
99,89.47,89.47,89.47,89.47,89.47,89.47,89.47,84.21,89.47,84.21,84.21,19
100,100.0,100.0,100.0,100.0,83.33,100.0,100.0,100.0,83.33,100.0,100.0,6
101,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,5
102,96.0,96.0,96.0,92.0,96.0,96.0,96.0,96.0,92.0,92.0,92.0,25
